                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3483,                 4.5183,                 1.3648,                      0,                      0,                      0,                      0,                  1.113,                 4.4461,                 1.4772,              6.255e-05,              6.255e-05,              6.255e-05
                      2,                 1.2287,                 3.9799,                 1.2657,                0.05833,                0.09652,                0.08678,                0.06436,                 1.2474,                 4.3826,                 1.4944,             0.00012671,             0.00012671,             0.00012671
                      3,                 1.2159,                 3.1182,                 1.2356,                0.55713,                0.04813,                0.12225,                0.08936,                 1.3032,                 3.9524,                 1.4965,             0.00018823,             0.00018823,             0.00018823
                      4,                 1.1788,                 2.5002,                 1.2182,                0.70285,                0.06514,                0.11258,                0.07556,                 1.3612,                 4.1218,                 1.5439,             0.00024711,             0.00024711,             0.00024711
                      5,                 1.1181,                 2.2205,                 1.1844,                0.74096,                0.07908,                0.12172,                0.07569,                 1.3722,                 3.5434,                 1.6635,             0.00030334,             0.00030334,             0.00030334
                      6,                 1.1301,                  2.009,                 1.2139,                0.73228,                0.15813,                0.15622,                0.09396,                 1.4356,                 3.3771,                 1.6601,             0.00035693,             0.00035693,             0.00035693
                      7,                 1.0782,                 1.9472,                 1.1709,                0.80499,                0.12117,                0.13484,                0.08453,                 1.4389,                 3.3386,                 1.6762,             0.00036746,             0.00036746,             0.00036746
                      8,                 1.0811,                 1.7995,                 1.1397,                0.74561,                0.17611,                 0.1422,                0.08309,                 1.4705,                 3.0599,                 1.6877,              0.0003592,              0.0003592,              0.0003592
                      9,                 1.0921,                 1.7146,                 1.1587,                0.78144,                 0.1898,                0.15525,                0.08854,                 1.3521,                 3.1903,                 1.6697,             0.00035095,             0.00035095,             0.00035095
                     10,                 1.0333,                 1.6519,                 1.1332,                0.67975,                0.13543,                0.14292,                0.07397,                 1.4245,                 3.1525,                 1.6839,             0.00034269,             0.00034269,             0.00034269
                     11,                 1.0339,                 1.6223,                 1.1191,                0.55793,                0.18965,                0.15163,                0.09065,                 1.3135,                 2.9038,                 1.5754,             0.00033443,             0.00033443,             0.00033443
                     12,                 1.0129,                 1.5656,                 1.1249,                0.45373,                0.15137,                0.14545,                0.08527,                 1.4127,                 3.0364,                 1.6894,             0.00032618,             0.00032618,             0.00032618
                     13,                 1.0171,                 1.5182,                 1.1285,                0.74893,                0.13891,                0.15944,                0.09329,                 1.3872,                 3.0065,                 1.6174,             0.00031792,             0.00031792,             0.00031792
                     14,                0.97356,                 1.4547,                 1.0979,                 0.4385,                0.15867,                0.14925,                0.08659,                 1.3379,                 3.0538,                 1.5675,             0.00030966,             0.00030966,             0.00030966
                     15,                0.99759,                 1.4866,                 1.1188,                0.57905,                0.13196,                0.13712,                0.08702,                 1.2693,                 3.0378,                 1.5158,             0.00030141,             0.00030141,             0.00030141
                     16,                0.96089,                 1.4322,                 1.0869,                0.45956,                 0.1194,                0.13362,                0.08996,                 1.2865,                  3.111,                 1.5246,             0.00029315,             0.00029315,             0.00029315
                     17,                0.97543,                 1.3762,                 1.0827,                0.56397,                 0.1328,                0.14357,                0.09303,                 1.3296,                 2.9513,                 1.5705,             0.00028489,             0.00028489,             0.00028489
                     18,                0.94963,                 1.3669,                 1.0957,                0.57179,                0.14523,                0.15375,                0.09993,                 1.2308,                 2.6181,                 1.5364,             0.00027664,             0.00027664,             0.00027664
                     19,                 0.9563,                 1.3891,                 1.1022,                0.59958,                0.14173,                0.16315,                0.09666,                 1.2806,                 2.6932,                 1.5299,             0.00026838,             0.00026838,             0.00026838
                     20,                0.94555,                  1.315,                 1.0752,                0.65212,                0.11527,                0.16346,                0.10656,                 1.2348,                 2.6474,                 1.4846,             0.00026012,             0.00026012,             0.00026012
                     21,                0.92115,                 1.3344,                 1.0744,                0.67334,                0.12165,                0.15406,                0.10392,                 1.2791,                 2.6526,                 1.5173,             0.00025187,             0.00025187,             0.00025187
                     22,                0.90405,                 1.2578,                 1.0753,                0.65263,                0.12397,                0.14778,                0.10212,                  1.304,                 2.8024,                 1.5363,             0.00024361,             0.00024361,             0.00024361
                     23,                0.89025,                 1.2728,                 1.0501,                0.61607,                0.12832,                0.15955,                0.10621,                 1.2982,                 2.6428,                 1.5576,             0.00023535,             0.00023535,             0.00023535
                     24,                0.87949,                 1.2287,                 1.0465,                0.63774,                0.12922,                0.16221,                0.11054,                 1.1807,                 2.4464,                 1.4525,              0.0002271,              0.0002271,              0.0002271
                     25,                0.87461,                 1.2188,                 1.0536,                0.62921,                0.12521,                0.15782,                0.10985,                 1.2181,                 2.5575,                 1.4458,             0.00021884,             0.00021884,             0.00021884
                     26,                0.87447,                  1.171,                 1.0375,                 0.6442,                0.12595,                0.16543,                0.11025,                 1.2908,                 2.6117,                 1.5572,             0.00021059,             0.00021059,             0.00021059
                     27,                0.87933,                 1.1656,                 1.0443,                0.60834,                0.16667,                 0.1941,                0.12317,                 1.2816,                 2.5284,                 1.5928,             0.00020233,             0.00020233,             0.00020233
                     28,                0.87209,                 1.1407,                 1.0441,                0.59618,                0.17176,                0.22099,                0.13791,                 1.3342,                 2.5081,                 1.6176,             0.00019407,             0.00019407,             0.00019407
                     29,                0.86056,                 1.1818,                 1.0411,                0.61936,                0.16881,                 0.2749,                0.17277,                 1.3438,                 2.3948,                 1.5849,             0.00018582,             0.00018582,             0.00018582
                     30,                0.85505,                 1.1608,                 1.0336,                0.61223,                0.16485,                0.27715,                0.19563,                 1.2834,                 2.3763,                  1.516,             0.00017756,             0.00017756,             0.00017756
                     31,                0.81779,                 1.1071,                 1.0256,                0.35393,                0.16201,                 0.2708,                0.19882,                 1.2821,                 2.4203,                 1.5124,              0.0001693,              0.0001693,              0.0001693
                     32,                0.85143,                 1.1165,                 1.0484,                0.41382,                0.26201,                0.27173,                0.21388,                  1.265,                 2.3631,                 1.5063,             0.00016105,             0.00016105,             0.00016105
                     33,                0.84497,                 1.1302,                 1.0218,                0.37914,                0.26636,                0.26803,                0.20563,                 1.1967,                 2.2224,                   1.47,             0.00015279,             0.00015279,             0.00015279
                     34,                0.80949,                 1.0959,                  1.014,                0.32872,                0.26011,                0.26123,                0.18186,                  1.238,                 2.2194,                 1.4917,             0.00014453,             0.00014453,             0.00014453
                     35,                0.81936,                 1.1002,                 1.0241,                0.38626,                0.25386,                0.25924,                0.16294,                 1.3369,                   2.36,                 1.6624,             0.00013628,             0.00013628,             0.00013628
                     36,                0.80248,                  1.078,                 1.0163,                 0.3295,                0.15979,                0.25925,                0.18796,                 1.3128,                 2.4114,                 1.6043,             0.00012802,             0.00012802,             0.00012802
                     37,                0.82785,                 1.0587,                 1.0254,                0.31503,                0.26201,                0.25539,                0.18682,                 1.2769,                 2.4073,                 1.5668,             0.00011976,             0.00011976,             0.00011976
                     38,                 0.7913,                 1.0298,                  1.014,                0.27027,                0.24379,                0.25352,                0.20344,                 1.2134,                 2.3628,                 1.4997,             0.00011151,             0.00011151,             0.00011151
                     39,                0.79938,                 1.0195,                 1.0109,                0.25792,                0.24501,                0.25885,                0.20742,                 1.1916,                 2.2761,                 1.5203,             0.00010325,             0.00010325,             0.00010325
                     40,                0.77846,                  1.005,                0.99936,                0.39155,                0.25576,                0.25712,                0.19591,                 1.2206,                 2.2405,                 1.5577,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     41,                0.75482,                 1.1099,                0.98429,                0.27026,                0.26702,                0.25984,                0.19519,                 1.3176,                 2.2835,                  1.584,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     42,                0.75091,                 1.1246,                0.98612,                0.29169,                 0.2553,                0.20278,                0.14023,                 1.3555,                  2.369,                 1.6493,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     43,                0.73338,                  1.077,                0.96957,                0.41243,                0.26425,                0.20553,                  0.139,                 1.3085,                 2.3537,                 1.6123,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     44,                0.73141,                 1.0918,                 0.9666,                0.39291,                0.25576,                0.25526,                0.19635,                 1.2619,                 2.2741,                 1.5821,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     45,                0.73692,                 1.0861,                0.97771,                0.31016,                0.26201,                0.26039,                0.19828,                 1.2745,                 2.2464,                 1.5907,              5.371e-05,              5.371e-05,              5.371e-05
                     46,                0.69214,                 1.0332,                0.96018,                0.31694,                0.26201,                0.26314,                0.19931,                  1.262,                 2.2071,                 1.5767,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     47,                0.70437,                 1.0418,                0.95986,                0.31165,                0.25576,                0.26175,                0.20162,                  1.207,                 2.1858,                 1.5273,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     48,                0.69901,                 1.0113,                0.94921,                0.33385,                0.27936,                0.26645,                0.20412,                 1.1869,                 2.1875,                 1.5065,              2.894e-05,              2.894e-05,              2.894e-05
                     49,                0.70725,                 1.0178,                0.95926,                0.31885,                0.27788,                 0.2719,                0.20865,                 1.1778,                 2.1662,                 1.5028,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     50,                0.69686,                 1.0075,                0.94591,                0.32709,                 0.2858,                0.27323,                0.20793,                 1.1818,                 2.1662,                 1.4984,             1.2427e-05,             1.2427e-05,             1.2427e-05
